Student ID,Name,Gender,Age,GPA,Major,Interested Domain,Projects,Internships,Certifications,Future Career,Python,SQL,Java,C++,JavaScript,Cloud,AI,Cybersecurity,Soft Skills,Work Experience (Years)
72,Student 72,Female,33,3.78,AI & Robotics,Machine Learning,5,2,Unity Certified,Blockchain Developer,9,10,7,7,10,8,3,3,Strong,6
73,Student 73,Female,39,3.44,Cloud Computing,Game Development,2,1,Google Data Analytics,Mobile App Developer,5,6,6,10,9,6,4,10,Average,4
74,Student 74,Female,30,3.86,Computer Science,Deep Learning,7,5,Meta Frontend Developer,Data Engineer,3,6,10,6,3,6,9,5,Average,3
75,Student 75,Female,25,3.8,Mobile App Development,Cyber Forensics,3,2,CEH,DevOps Engineer,5,7,6,7,8,10,4,9,Weak,2
76,Student 76,Non-binary,34,3.46,Blockchain Technology,Mobile App Development,2,0,Kubernetes Administrator,Data Engineer,9,4,5,10,3,10,4,6,Weak,9
77,Student 77,Non-binary,36,3.65,Computer Science,Full Stack Development,3,2,Unity Certified,Cloud Architect,10,6,5,4,5,7,8,7,Strong,2
78,Student 78,Non-binary,28,3.4,Quantum Computing,Cyber Forensics,1,1,Red Hat Certified Engineer,Software Engineer,10,9,3,6,9,8,9,9,Average,9
79,Student 79,Female,30,3.19,Web Development,Cyber Forensics,4,2,Google Android Developer,Quantum Computing Researcher,7,7,3,5,7,4,4,4,Average,3
80,Student 80,Male,44,3.82,Networking,Cyber Forensics,7,4,CEH,Data Scientist,7,9,9,10,8,6,10,10,Strong,7
81,Student 81,Female,24,2.58,Web Development,Cloud Security,1,1,None,Machine Learning Engineer,9,10,8,4,3,8,10,7,Average,6
82,Student 82,Female,42,3.04,Quantum Computing,AI Research,4,1,None,Software Engineer,8,5,4,3,5,3,9,9,Average,0
83,Student 83,Male,41,3.54,Blockchain Technology,Data Visualization,2,5,Red Hat Certified Engineer,Game Developer,3,5,8,9,9,7,5,8,Average,10
84,Student 84,Non-binary,44,3.68,Bioinformatics,Cyber Forensics,3,1,Google Data Analytics,Security Consultant,6,5,10,6,6,6,7,10,Average,4
85,Student 85,Non-binary,31,2.88,Software Engineering,Game Development,1,5,Microsoft Certified,Full Stack Developer,9,4,5,8,6,9,4,9,Average,10
86,Student 86,Non-binary,37,3.36,Bioinformatics,Deep Learning,1,3,Kubernetes Administrator,Quantum Computing Researcher,8,4,5,9,8,8,10,7,Average,7
87,Student 87,Non-binary,27,3.15,Embedded Systems,Game Development,6,0,Unity Certified,Web Developer,5,6,10,7,9,9,8,3,Weak,2
88,Student 88,Non-binary,45,3.77,Mobile App Development,Machine Learning,4,5,CEH,Network Engineer,6,6,7,6,8,8,8,5,Average,3
89,Student 89,Female,31,2.59,Mobile App Development,Machine Learning,5,5,Microsoft Certified,Cybersecurity Analyst,10,9,9,5,9,10,8,10,Weak,2
90,Student 90,Female,36,3.12,Computer Science,Mobile App Development,7,2,IBM Quantum Developer,Penetration Tester,7,10,4,5,7,9,6,5,Strong,1
91,Student 91,Male,39,3.66,Blockchain Technology,Quantum AI,3,1,Meta Frontend Developer,Machine Learning Engineer,4,4,3,4,8,7,6,3,Strong,3
92,Student 92,Non-binary,23,3.14,AI & Robotics,Big Data,1,5,Microsoft Certified,Mobile App Developer,3,7,10,9,8,10,4,4,Weak,0
93,Student 93,Non-binary,35,2.61,Bioinformatics,Data Visualization,6,3,AWS Certified,Full Stack Developer,9,7,9,10,3,10,10,5,Weak,6
94,Student 94,Non-binary,22,2.5,Networking,Full Stack Development,6,1,CEH,Mobile App Developer,9,7,3,4,9,6,7,10,Strong,8
95,Student 95,Non-binary,43,3.3,Blockchain Technology,Mobile App Development,5,0,Cisco CCNA,Web Developer,6,6,8,3,4,3,6,6,Strong,3
96,Student 96,Non-binary,32,3.16,Embedded Systems,DevOps,3,5,Google Data Analytics,Security Consultant,9,5,10,4,9,8,7,6,Weak,10
97,Student 97,Non-binary,41,3.58,Web Development,Data Visualization,3,0,MIT AI Certification,Quantum Computing Researcher,3,5,3,5,4,3,8,10,Strong,7
98,Student 98,Male,26,3.84,Data Science,IoT Security,4,4,None,Software Engineer,3,6,3,8,7,7,10,6,Strong,2
99,Student 99,Female,18,2.93,Data Science,Game Development,6,5,Microsoft Certified,Machine Learning Engineer,5,7,10,5,6,4,3,8,Weak,9
100,Student 100,Male,41,3.4,Software Engineering,Blockchain Security,7,1,Kubernetes Administrator,Blockchain Developer,3,4,7,4,4,5,7,4,Weak,2
101,Student 101,Female,39,3.02,Cybersecurity,Quantum AI,4,4,CEH,Mobile App Developer,9,7,7,7,6,9,3,7,Weak,7
102,Student 102,Non-binary,35,3.84,Networking,AI Research,5,5,Red Hat Certified Engineer,Network Engineer,6,9,4,5,10,3,6,7,Weak,1
103,Student 103,Male,40,3.56,Cloud Computing,Ethical Hacking,3,0,IBM Quantum Developer,Cloud Architect,7,10,3,9,9,9,8,9,Weak,1
104,Student 104,Non-binary,43,2.76,Cybersecurity,Cyber Forensics,1,3,Meta Frontend Developer,Quantum Computing Researcher,6,8,8,4,7,10,5,5,Weak,7
105,Student 105,Male,39,3.71,Bioinformatics,Ethical Hacking,5,4,Google Android Developer,Cybersecurity Analyst,6,9,4,4,10,6,3,6,Strong,10
106,Student 106,Male,43,3.22,Blockchain Technology,AI Research,2,3,IBM Quantum Developer,Mobile App Developer,8,4,8,6,3,4,5,8,Strong,10
107,Student 107,Female,22,3.35,AI & Robotics,Cyber Forensics,5,3,Google Android Developer,DevOps Engineer,3,10,4,8,5,5,10,5,Strong,0
108,Student 108,Male,25,3.64,Game Development,Machine Learning,4,0,Cisco CCNA,Blockchain Developer,9,8,6,5,6,7,10,4,Weak,8
109,Student 109,Female,45,3.97,Networking,Ethical Hacking,2,0,AWS Certified,Full Stack Developer,5,6,3,9,9,9,10,8,Average,5
110,Student 110,Female,29,2.51,Networking,Quantum AI,5,5,IBM Quantum Developer,Security Consultant,7,4,3,9,9,8,4,4,Average,5
111,Student 111,Non-binary,45,2.78,Bioinformatics,Full Stack Development,6,3,Red Hat Certified Engineer,DevOps Engineer,10,6,7,8,6,10,8,9,Weak,2
112,Student 112,Non-binary,44,2.62,Human-Computer Interaction,Full Stack Development,6,1,Google Android Developer,Blockchain Developer,10,8,7,5,3,5,3,9,Strong,10
113,Student 113,Female,27,3.18,Web Development,Deep Learning,3,1,Microsoft Certified,Data Scientist,8,5,7,10,10,3,4,9,Weak,7
114,Student 114,Male,45,3.79,Data Science,Machine Learning,6,0,Kubernetes Administrator,IoT Engineer,10,5,4,5,6,3,8,3,Weak,8
115,Student 115,Female,32,2.72,AI & Robotics,Big Data,6,1,None,Penetration Tester,5,3,3,10,7,9,5,6,Weak,10
116,Student 116,Male,18,3.88,Cybersecurity,Quantum AI,4,3,TensorFlow Certified,AI Researcher,3,6,6,5,6,6,10,6,Strong,7
117,Student 117,Male,42,3.99,Data Science,DevOps,5,1,Unity Certified,Full Stack Developer,7,9,4,4,8,5,8,6,Average,7
118,Student 118,Non-binary,27,3.63,Cybersecurity,Cloud Security,2,1,Kubernetes Administrator,Software Engineer,7,5,4,3,5,7,4,4,Strong,5
119,Student 119,Male,39,2.59,Mobile App Development,Cyber Forensics,3,2,Microsoft Certified,DevOps Engineer,10,9,9,8,8,9,5,6,Weak,3
120,Student 120,Male,20,2.54,Quantum Computing,IoT Security,4,0,MIT AI Certification,Machine Learning Engineer,10,8,7,9,6,10,7,10,Average,4
121,Student 121,Non-binary,30,3.07,Cloud Computing,Cloud Security,7,3,CEH,Security Consultant,3,3,9,8,4,5,5,9,Weak,9
122,Student 122,Non-binary,40,3.61,Game Development,IoT Security,7,0,Kubernetes Administrator,Mobile App Developer,10,5,3,8,9,10,4,4,Weak,4
123,Student 123,Male,35,3.09,Mobile App Development,Game Development,2,0,CEH,Data Engineer,10,9,3,4,8,6,7,5,Weak,2
124,Student 124,Male,26,3.34,Human-Computer Interaction,Deep Learning,4,3,Meta Frontend Developer,Software Engineer,9,3,8,3,9,3,3,6,Weak,5
125,Student 125,Male,24,3.15,Blockchain Technology,Quantum AI,6,1,Microsoft Certified,Cloud Architect,3,6,8,10,3,6,7,10,Strong,10
126,Student 126,Female,42,3.25,Web Development,Data Visualization,1,2,Microsoft Certified,Machine Learning Engineer,9,7,6,4,8,8,8,8,Strong,3
127,Student 127,Male,40,3.64,Blockchain Technology,Mobile App Development,1,0,Cisco CCNA,Blockchain Developer,7,8,4,9,10,4,4,7,Strong,1
128,Student 128,Non-binary,26,2.53,Blockchain Technology,Cloud Security,6,2,None,Penetration Tester,4,8,7,7,5,6,8,4,Weak,8
129,Student 129,Female,38,3.4,Web Development,Game Development,1,0,Google Android Developer,Software Engineer,7,3,6,3,5,7,5,4,Strong,2
130,Student 130,Male,36,3.8,Embedded Systems,Machine Learning,3,1,Google Data Analytics,Game Developer,9,10,10,3,4,7,5,9,Average,4
131,Student 131,Male,38,3.44,Cybersecurity,Data Visualization,5,5,Red Hat Certified Engineer,Game Developer,7,4,10,5,5,10,7,4,Strong,6
132,Student 132,Non-binary,23,2.84,Cybersecurity,AI Research,6,1,Google Android Developer,Data Engineer,9,9,8,6,5,10,7,5,Strong,5
133,Student 133,Female,32,2.86,Quantum Computing,Deep Learning,7,3,None,Penetration Tester,5,5,9,5,10,8,5,9,Weak,0
134,Student 134,Female,27,3.02,Web Development,Full Stack Development,1,2,Meta Frontend Developer,Security Consultant,5,8,10,6,9,10,6,3,Weak,0
135,Student 135,Female,35,3.74,Blockchain Technology,Deep Learning,5,4,Cisco CCNA,Game Developer,6,8,5,6,5,4,5,10,Strong,8
136,Student 136,Male,22,3.6,Cloud Computing,Ethical Hacking,4,2,None,Data Engineer,3,5,6,3,7,6,8,3,Strong,8
137,Student 137,Non-binary,22,3.1,Cybersecurity,AI Research,3,3,CEH,Software Engineer,10,3,5,10,9,8,4,9,Average,6
138,Student 138,Non-binary,19,3.02,AI & Robotics,Quantum AI,4,1,CEH,Blockchain Developer,8,7,5,3,5,10,7,9,Average,0
139,Student 139,Female,29,3.77,Cybersecurity,Blockchain Security,1,2,Meta Frontend Developer,Software Engineer,7,3,7,5,3,3,5,4,Strong,1
140,Student 140,Male,23,2.62,Embedded Systems,Quantum AI,5,5,None,Network Engineer,3,5,3,10,6,10,9,7,Strong,7
141,Student 141,Male,43,2.8,Game Development,Cloud Security,6,3,CEH,Cloud Architect,6,9,3,3,9,9,3,8,Strong,6
142,Student 142,Non-binary,20,2.88,Game Development,Game Development,3,3,AWS Certified,Penetration Tester,7,4,4,9,10,8,8,7,Average,4
143,Student 143,Male,38,3.55,Game Development,AI Research,1,4,Cisco CCNA,Cybersecurity Analyst,4,5,10,9,9,10,10,5,Strong,1
144,Student 144,Male,39,3.79,Software Engineering,Machine Learning,7,4,None,IoT Engineer,6,4,10,9,7,8,9,6,Average,5
145,Student 145,Female,32,3.14,AI & Robotics,Mobile App Development,6,4,Red Hat Certified Engineer,Cybersecurity Analyst,6,8,7,4,4,4,4,3,Average,5
146,Student 146,Non-binary,20,2.83,Software Engineering,Ethical Hacking,4,5,None,Web Developer,6,3,3,3,5,7,8,8,Weak,2
147,Student 147,Male,33,2.59,Embedded Systems,Quantum AI,3,5,MIT AI Certification,Quantum Computing Researcher,4,5,5,7,5,9,7,4,Weak,1
148,Student 148,Male,38,3.41,Bioinformatics,Ethical Hacking,6,0,AWS Certified,IoT Engineer,8,8,4,9,8,3,3,6,Strong,10
149,Student 149,Female,25,2.8,Computer Science,DevOps,7,2,Cisco CCNA,Mobile App Developer,10,7,5,6,9,8,4,8,Average,1
150,Student 150,Non-binary,45,3.69,Cloud Computing,IoT Security,7,2,None,Data Scientist,10,3,8,6,6,3,9,10,Strong,0
151,Student 151,Male,18,2.85,Computer Science,Cloud Security,3,0,MIT AI Certification,Cybersecurity Analyst,9,9,5,4,9,9,8,4,Average,3
152,Student 152,Female,25,3.11,Data Science,DevOps,4,3,Google Data Analytics,Penetration Tester,4,8,10,10,4,8,5,3,Weak,5
153,Student 153,Male,30,3.97,Web Development,Blockchain Security,3,4,IBM Quantum Developer,Software Engineer,9,8,4,9,9,4,7,3,Average,2
154,Student 154,Male,40,3.39,Web Development,IoT Security,6,1,Google Data Analytics,Game Developer,10,3,8,10,3,8,3,3,Weak,0
155,Student 155,Male,45,2.79,Quantum Computing,Cloud Security,2,3,TensorFlow Certified,Network Engineer,6,8,5,4,3,6,7,7,Average,10
156,Student 156,Non-binary,29,2.78,Cybersecurity,IoT Security,2,5,Meta Frontend Developer,Security Consultant,7,9,6,4,3,9,7,9,Weak,2
157,Student 157,Female,29,2.77,Cybersecurity,Mobile App Development,3,5,Microsoft Certified,Game Developer,4,9,10,3,7,9,10,7,Average,6
158,Student 158,Female,30,3.73,Software Engineering,Quantum AI,5,1,IBM Quantum Developer,Quantum Computing Researcher,9,6,4,8,8,8,4,5,Strong,0
159,Student 159,Male,20,3.63,Bioinformatics,IoT Security,7,1,MIT AI Certification,Network Engineer,4,6,10,3,8,6,6,10,Strong,5
160,Student 160,Male,36,2.77,Quantum Computing,Blockchain Security,3,1,Microsoft Certified,Penetration Tester,3,5,10,8,9,3,6,9,Strong,7
161,Student 161,Non-binary,36,3.53,Bioinformatics,Blockchain Security,5,2,Unity Certified,Web Developer,9,8,9,9,9,5,3,3,Strong,7
162,Student 162,Female,23,2.6,Computer Science,Machine Learning,5,0,Google Data Analytics,AI Researcher,9,5,8,8,4,4,10,3,Weak,10
163,Student 163,Non-binary,32,3.07,Game Development,Big Data,4,4,MIT AI Certification,Cybersecurity Analyst,4,9,10,3,5,3,5,6,Weak,9
164,Student 164,Non-binary,30,3.24,Quantum Computing,Ethical Hacking,2,5,TensorFlow Certified,Full Stack Developer,8,3,9,7,4,10,4,3,Average,0
165,Student 165,Female,22,3.66,Cybersecurity,Cyber Forensics,4,0,Red Hat Certified Engineer,Network Engineer,10,8,10,3,4,8,3,8,Strong,2
166,Student 166,Female,22,3.77,Software Engineering,Mobile App Development,5,0,Meta Frontend Developer,Security Consultant,10,6,6,9,7,3,5,5,Strong,5
167,Student 167,Female,38,3.88,Software Engineering,Cloud Security,7,3,Cisco CCNA,Blockchain Developer,10,4,7,6,8,10,3,7,Weak,2
168,Student 168,Non-binary,19,2.91,Mobile App Development,AI Research,5,5,Unity Certified,Mobile App Developer,6,8,8,8,7,8,7,5,Weak,2
169,Student 169,Female,34,2.83,Computer Science,Cyber Forensics,6,5,Unity Certified,Mobile App Developer,3,4,6,7,5,3,4,3,Strong,10
170,Student 170,Male,34,2.7,Game Development,Cyber Forensics,7,4,Cisco CCNA,Cybersecurity Analyst,4,9,4,10,6,6,5,10,Average,0
171,Student 171,Female,24,2.72,Cloud Computing,Deep Learning,7,0,CEH,Cloud Architect,4,5,7,4,5,3,3,5,Weak,4
172,Student 172,Non-binary,41,3.51,Data Science,Machine Learning,4,5,AWS Certified,DevOps Engineer,4,3,3,7,10,7,3,4,Weak,7
173,Student 173,Female,26,3.0,Web Development,Blockchain Security,4,0,AWS Certified,AI Researcher,8,9,6,4,4,9,6,3,Weak,0
174,Student 174,Non-binary,39,3.13,Blockchain Technology,Ethical Hacking,7,0,AWS Certified,Cybersecurity Analyst,7,5,10,3,8,10,10,6,Strong,9
175,Student 175,Male,42,3.99,Cybersecurity,Cloud Security,6,0,Google Android Developer,Network Engineer,4,6,4,8,6,7,4,9,Average,10
176,Student 176,Non-binary,33,3.31,Game Development,Machine Learning,4,1,None,IoT Engineer,5,7,7,4,5,3,5,3,Average,5
177,Student 177,Male,34,3.02,Cybersecurity,Blockchain Security,1,4,Red Hat Certified Engineer,Data Scientist,3,8,3,8,9,9,3,8,Average,3
178,Student 178,Male,27,2.85,Computer Science,Cloud Security,6,5,Red Hat Certified Engineer,Security Consultant,10,9,3,6,5,8,10,5,Strong,5
179,Student 179,Female,42,2.64,Networking,Quantum AI,4,1,None,Machine Learning Engineer,5,5,6,8,10,4,5,9,Weak,2
180,Student 180,Non-binary,40,3.76,Human-Computer Interaction,Machine Learning,3,2,Red Hat Certified Engineer,Security Consultant,3,8,7,8,7,8,10,3,Average,8
181,Student 181,Male,23,2.51,Computer Science,Ethical Hacking,5,2,Cisco CCNA,Quantum Computing Researcher,5,9,8,10,4,9,10,8,Average,6
182,Student 182,Female,22,3.0,Computer Science,DevOps,3,1,IBM Quantum Developer,DevOps Engineer,9,10,9,6,3,9,9,7,Weak,1
183,Student 183,Non-binary,34,3.96,Embedded Systems,Deep Learning,1,5,Cisco CCNA,Data Scientist,3,4,5,5,5,9,9,9,Weak,2
184,Student 184,Male,43,3.88,Web Development,IoT Security,6,4,None,Cybersecurity Analyst,10,9,8,5,7,3,6,5,Average,2
185,Student 185,Female,38,3.4,Networking,Game Development,3,5,MIT AI Certification,Full Stack Developer,5,8,7,5,8,8,10,6,Weak,9
186,Student 186,Female,44,2.79,Web Development,Big Data,7,4,TensorFlow Certified,Cloud Architect,5,6,9,9,7,7,3,4,Strong,7
187,Student 187,Non-binary,43,2.73,AI & Robotics,Cloud Security,3,0,CEH,Game Developer,4,10,6,8,7,9,7,10,Weak,1
188,Student 188,Female,40,3.51,Embedded Systems,DevOps,2,2,Unity Certified,Software Engineer,9,7,4,9,3,6,9,9,Strong,7
189,Student 189,Female,21,2.92,Game Development,Machine Learning,3,5,None,Data Scientist,8,5,3,7,7,8,10,6,Average,1
